LOCATION,TIME,Value
DNK,2017-Q2,3.382501008
DNK,2017-Q3,2.136810628
DNK,2017-Q4,2.171760752
DNK,2018-Q1,2.027279546
DNK,2018-Q2,1.406567485
DNK,2018-Q3,2.392719949
DNK,2018-Q4,2.132945885
DNK,2019-Q1,2.278727084
DNK,2019-Q2,2.541672185
DNK,2019-Q3,2.303306018
DNK,2019-Q4,1.343164782
DNK,2020-Q1,0.210716339
DNK,2020-Q2,-6.572003611
DNK,2020-Q3,-1.21396796
DNK,2020-Q4,-0.658129743
DNK,2021-Q1,-0.183963225
DNK,2021-Q2,8.603049034
DNK,2021-Q3,3.820783238
DNK,2021-Q4,6.771971148
FIN,2008-Q1,3.960451139
FIN,2008-Q2,1.304736046
FIN,2008-Q3,0.729492064
FIN,2008-Q4,-2.715996578
FIN,2009-Q1,-8.905661724
FIN,2009-Q2,-8.569424208
FIN,2009-Q3,-8.041588241
FIN,2009-Q4,-6.75056789
FIN,2010-Q1,0.70712215
FIN,2010-Q2,3.942631175
FIN,2010-Q3,2.567301507
FIN,2010-Q4,5.536019488
FIN,2011-Q1,5.072646996
FIN,2011-Q2,2.070675525
FIN,2011-Q3,2.617074654
FIN,2011-Q4,0.53424173
FIN,2012-Q1,-0.46093186
FIN,2012-Q2,-1.342555677
FIN,2012-Q3,-1.842831478
FIN,2012-Q4,-1.946007999
FIN,2013-Q1,-2.359964294
FIN,2013-Q2,-0.860853711
FIN,2013-Q3,-0.130193592
FIN,2013-Q4,-0.232263912
FIN,2014-Q1,-0.146658286
FIN,2014-Q2,-0.443643947
FIN,2014-Q3,-0.406204538
FIN,2014-Q4,-0.465609267
FIN,2015-Q1,-0.471140274
FIN,2015-Q2,0.879815658
FIN,2015-Q3,0.48184543
FIN,2015-Q4,1.287365939
FIN,2016-Q1,3.340424309
FIN,2016-Q2,1.950050025
FIN,2016-Q3,3.111312491
FIN,2016-Q4,2.851778842
FIN,2017-Q1,2.635288009
FIN,2017-Q2,3.781061364
FIN,2017-Q3,3.004614033
FIN,2017-Q4,3.353168808
FIN,2018-Q1,2.60737582
FIN,2018-Q2,1.264987154
FIN,2018-Q3,0.703912402
FIN,2018-Q4,0.019427421
FIN,2019-Q1,0.519494242
FIN,2019-Q2,1.465898479
FIN,2019-Q3,1.567436852
FIN,2019-Q4,1.327871168
FIN,2020-Q1,0.332860321
FIN,2020-Q2,-6.713087569
FIN,2020-Q3,-1.969030778
FIN,2020-Q4,-0.815558344
FIN,2021-Q1,-0.637320808
FIN,2021-Q2,7.747147404
FIN,2021-Q3,3.609417104
FIN,2021-Q4,3.447185326
FRA,2008-Q1,1.824393905
FRA,2008-Q2,0.614667444
FRA,2008-Q3,-0.050607055
FRA,2008-Q4,-1.734247543
FRA,2009-Q1,-3.865915859
FRA,2009-Q2,-3.367771767
FRA,2009-Q3,-3.027405057
FRA,2009-Q4,-0.843929779
FRA,2010-Q1,1.209818208
FRA,2010-Q2,1.724495478
FRA,2010-Q3,2.192784556
FRA,2010-Q4,2.157417579
FRA,2011-Q1,2.855900867
FRA,2011-Q2,2.263836181
FRA,2011-Q3,2.110704657
FRA,2011-Q4,1.615897402
FRA,2012-Q1,0.609616124
FRA,2012-Q2,0.546230532
FRA,2012-Q3,0.315272215
FRA,2012-Q4,-0.014057196
FRA,2013-Q1,0.034357005
FRA,2013-Q2,0.868131197
FRA,2013-Q3,0.51508326
FRA,2013-Q4,1.312038223
FRA,2014-Q1,1.243168014
FRA,2014-Q2,0.654084747
FRA,2014-Q3,1.327363178
FRA,2014-Q4,0.629915855
FRA,2015-Q1,1.156643295
FRA,2015-Q2,1.178027276
FRA,2015-Q3,0.833984343
FRA,2015-Q4,1.074007024
FRA,2016-Q1,1.160914056
FRA,2016-Q2,0.75477654
FRA,2016-Q3,0.807791314
FRA,2016-Q4,1.19723451
FRA,2017-Q1,1.326047825
FRA,2017-Q2,2.413704609
FRA,2017-Q3,3.021887778
FRA,2017-Q4,3.031774154
FRA,2018-Q1,2.318331284
FRA,2018-Q2,1.984293354
FRA,2018-Q3,1.513072146
FRA,2018-Q4,1.487550164
FRA,2019-Q1,2.119372167
FRA,2019-Q2,2.397940647
FRA,2019-Q3,1.98337352
FRA,2019-Q4,1.045174251
FRA,2020-Q1,-5.323036701
FRA,2020-Q2,-18.897267446
FRA,2020-Q3,-3.163630006
FRA,2020-Q4,-4.187654563
FRA,2021-Q1,1.804711523
FRA,2021-Q2,19.156864633
FRA,2021-Q3,3.006804829
FRA,2021-Q4,4.932174324
DEU,2008-Q1,2.655653474
DEU,2008-Q2,1.565048592
DEU,2008-Q3,0.408135944
DEU,2008-Q4,-1.845717651
DEU,2009-Q1,-7.026768845
DEU,2009-Q2,-6.66062753
DEU,2009-Q3,-5.527477918
DEU,2009-Q4,-3.290887765
DEU,2010-Q1,2.277973069
DEU,2010-Q2,4.403387043
DEU,2010-Q3,4.69597184
DEU,2010-Q4,4.774038138
DEU,2011-Q1,5.942798953
DEU,2011-Q2,3.707855318
DEU,2011-Q3,3.763487211
DEU,2011-Q4,2.606848305
DEU,2012-Q1,0.876147746
DEU,2012-Q2,0.980562452
DEU,2012-Q3,0.377823848
DEU,2012-Q4,0.243074925
DEU,2013-Q1,-0.435611518
DEU,2013-Q2,0.439963565
DEU,2013-Q3,0.729425255
DEU,2013-Q4,1.483648492
DEU,2014-Q1,2.913075283
DEU,2014-Q2,1.82472532
DEU,2014-Q3,1.783270004
DEU,2014-Q4,2.302105746
DEU,2015-Q1,0.81967864
DEU,2015-Q2,1.532410198
DEU,2015-Q3,1.493771112
DEU,2015-Q4,1.110032878
DEU,2016-Q1,2.476818989
DEU,2016-Q2,2.178643906
DEU,2016-Q3,2.018125025
DEU,2016-Q4,1.90021589
DEU,2017-Q1,2.306102514
DEU,2017-Q2,2.679362955
DEU,2017-Q3,3.227702713
DEU,2017-Q4,3.734400223
DEU,2018-Q1,2.042184252
DEU,2018-Q2,1.816096978
DEU,2018-Q3,0.502174423
DEU,2018-Q4,0.084593112
DEU,2019-Q1,1.578883507
DEU,2019-Q2,0.518674349
DEU,2019-Q3,1.359957007
